Datetime,Temperature,Memory Free %,CPU Utilization %
2024-03-22 14:38:19,52.58,83.01,54.94
2024-03-22 14:38:50,53.56,83.01,55.14
2024-03-22 14:39:21,52.09,83.03,55.14
2024-03-22 14:39:52,53.56,83.03,56.0
2024-03-22 14:40:23,52.58,83.04,55.16
2024-03-22 14:40:54,53.07,83.03,55.28
2024-03-22 14:41:25,52.09,83.04,55.19
2024-03-22 14:41:56,52.09,83.03,55.53
2024-03-22 14:42:27,52.58,83.03,55.64
2024-03-22 14:42:58,52.58,83.04,56.5
2024-03-22 14:43:29,52.09,83.03,54.68
2024-03-22 14:44:00,52.58,83.04,56.08
2024-03-22 14:44:31,53.56,82.97,56.14
2024-03-22 14:45:02,53.56,83.08,55.56
2024-03-22 14:45:33,53.07,83.07,55.42
2024-03-22 14:46:04,53.56,83.08,56.0
2024-03-22 14:46:35,52.09,83.07,55.58
2024-03-22 14:47:06,52.58,83.07,55.72
2024-03-22 14:47:37,52.09,83.08,56.0
2024-03-22 14:48:08,52.09,83.08,55.1
2024-03-22 14:48:39,52.58,83.09,55.56
2024-03-22 14:49:10,51.61,83.08,55.05
2024-03-22 14:49:41,53.56,83.08,56.53
2024-03-22 14:50:12,52.58,83.08,54.8
2024-03-22 14:50:43,52.09,83.07,55.42
2024-03-22 14:51:14,53.07,83.06,56.72
2024-03-22 14:51:45,52.58,83.09,56.42
2024-03-22 14:52:16,52.09,83.08,55.7
2024-03-22 14:52:47,52.09,83.08,56.93
2024-03-22 14:53:18,52.09,83.08,56.68
2024-03-22 14:53:49,53.07,83.07,58.29
2024-03-22 14:54:20,53.07,83.14,55.89
2024-03-22 14:54:51,53.56,83.05,56.0
2024-03-22 14:55:22,52.58,83.08,55.3
2024-03-22 14:55:53,52.58,83.06,55.08
2024-03-22 14:56:24,53.07,83.15,55.86
2024-03-22 14:56:55,52.58,83.15,57.89
2024-03-22 14:57:26,53.07,83.12,55.05
2024-03-22 14:57:57,52.58,83.09,51.13
2024-03-22 14:58:28,52.58,83.18,56.28
2024-03-22 14:58:59,53.07,83.15,56.06
2024-03-22 14:59:30,53.56,83.13,55.95
2024-03-22 15:00:01,53.07,83.16,57.14
2024-03-22 15:00:32,54.04,83.15,55.58
2024-03-22 15:01:03,52.58,83.12,75.19
2024-03-22 15:01:34,53.07,83.12,51.87
2024-03-22 15:02:05,52.09,83.22,51.63
2024-03-22 15:02:36,53.07,83.22,52.0
2024-03-22 15:03:07,52.58,83.19,51.63
2024-03-22 15:03:38,52.09,83.18,52.0
2024-03-22 15:04:09,52.58,83.15,51.39
2024-03-22 15:04:40,52.09,83.14,51.87
2024-03-22 15:05:11,51.61,83.14,51.75
2024-03-22 15:05:42,51.61,83.14,51.88
2024-03-22 15:06:13,53.07,83.23,52.13
2024-03-22 15:06:44,53.07,83.21,51.75
2024-03-22 15:07:15,52.09,83.17,53.07
2024-03-22 15:07:46,53.07,83.14,51.63
2024-03-22 15:08:17,53.56,83.13,52.13
2024-03-22 15:08:48,53.07,83.13,51.63
2024-03-22 15:09:19,52.09,83.12,53.1
2024-03-22 15:09:50,51.61,83.17,51.76
2024-03-22 15:10:21,52.09,83.16,51.75
2024-03-22 15:10:52,51.61,83.14,52.13
2024-03-22 15:11:23,51.12,83.13,52.12
2024-03-22 15:11:54,51.61,83.12,51.76
2024-03-22 15:12:25,52.09,83.21,51.88
2024-03-22 15:12:56,52.09,83.19,52.12
2024-03-22 15:13:27,52.58,83.18,52.12
2024-03-22 15:13:58,52.09,83.17,52.13
2024-03-22 15:14:29,52.09,83.12,52.64
2024-03-22 15:15:00,52.09,83.11,51.88
2024-03-22 15:15:31,53.07,83.1,52.01
2024-03-22 15:16:02,53.07,83.08,51.63
2024-03-22 15:16:33,51.61,83.08,52.88
2024-03-22 15:17:04,51.61,83.06,52.25
2024-03-22 15:17:35,53.07,83.14,52.48
2024-03-22 15:18:06,52.58,83.1,52.12
2024-03-22 15:18:37,53.07,83.1,51.88
2024-03-22 15:19:08,52.09,83.1,51.88
2024-03-22 15:19:39,52.58,83.1,52.26
2024-03-22 15:20:10,53.07,83.09,52.62
2024-03-22 15:20:41,51.12,83.1,51.87
2024-03-22 15:21:42,52.09,83.09,52.25
2024-03-22 15:22:13,51.61,83.05,52.64
2024-03-22 15:22:44,52.09,83.04,52.13
2024-03-22 15:23:15,52.09,83.05,53.13
2024-03-22 15:23:46,52.09,83.04,51.76
2024-03-22 15:24:17,51.61,83.23,52.51
2024-03-22 15:24:48,52.09,83.15,51.39
2024-03-22 15:25:19,52.09,83.13,51.87
2024-03-22 15:25:50,52.09,83.11,51.63
2024-03-22 15:26:21,53.07,83.11,52.12
2024-03-22 15:26:52,52.58,83.19,52.37
2024-03-22 15:27:23,52.58,83.17,51.88
2024-03-22 15:27:54,52.09,83.14,52.0
2024-03-22 15:28:25,52.09,83.05,52.0
2024-03-22 15:28:56,52.58,83.14,51.75
2024-03-22 15:29:27,52.09,83.09,57.79
2024-03-22 15:29:58,52.09,83.15,50.13
2024-03-22 15:30:29,51.12,83.13,51.76
2024-03-22 15:31:00,52.58,83.1,52.13
2024-03-22 15:31:31,52.09,83.17,53.23
2024-03-22 15:32:02,52.09,83.14,52.63
2024-03-22 15:32:33,52.09,83.14,52.62
2024-03-22 15:33:04,52.58,83.12,52.64
2024-03-22 15:33:35,52.09,83.09,52.25
2024-03-22 15:34:06,52.58,83.08,52.5
2024-03-22 15:34:37,52.58,83.05,52.25
2024-03-22 15:35:08,52.09,83.11,69.0
2024-03-22 15:35:39,52.09,83.08,52.49
2024-03-22 15:36:10,53.56,83.08,54.11
2024-03-22 15:36:41,52.09,83.06,52.13
2024-03-22 15:37:12,52.09,83.13,51.76
2024-03-22 15:37:43,52.58,83.1,51.75
2024-03-22 15:38:14,52.58,83.1,51.89
2024-03-22 15:38:45,52.58,83.08,52.38
2024-03-22 15:39:16,53.07,83.08,52.49
2024-03-22 15:39:47,52.58,83.07,52.24
2024-03-22 15:40:18,53.07,83.08,51.88
2024-03-22 15:40:49,52.09,83.07,52.13
2024-03-22 15:41:20,52.58,83.09,52.49
2024-03-22 15:41:51,51.12,83.08,51.63
2024-03-22 15:42:22,51.61,83.16,52.26
2024-03-22 15:42:53,52.58,83.14,51.88
2024-03-22 15:43:24,53.07,83.11,51.75
2024-03-22 15:43:55,52.58,83.09,52.13
2024-03-22 15:44:26,52.58,83.02,52.0
2024-03-22 15:44:57,53.07,83.16,52.13
2024-03-22 15:45:28,52.09,83.13,52.83
2024-03-22 15:45:59,51.61,83.11,50.13
2024-03-22 15:46:30,52.58,83.1,51.63
2024-03-22 15:47:01,52.09,83.08,52.25
2024-03-22 15:47:32,52.58,83.07,52.36
2024-03-22 15:48:03,52.09,83.08,52.13
2024-03-22 15:48:34,52.58,83.06,52.0
2024-03-22 15:49:05,52.09,83.12,51.88
2024-03-22 15:49:36,51.61,83.1,51.75
2024-03-22 15:50:07,52.58,83.1,52.01
2024-03-22 15:50:38,52.09,83.13,51.88
2024-03-22 15:51:09,53.07,83.11,52.5
2024-03-22 15:51:40,52.09,83.09,51.76
2024-03-22 15:52:11,52.09,83.09,52.25
2024-03-22 15:52:42,53.07,83.13,51.51
2024-03-22 15:53:13,53.07,83.11,52.27
2024-03-22 15:53:44,52.58,83.12,52.12
2024-03-22 15:54:15,52.09,83.12,53.15
2024-03-22 15:54:46,52.09,83.12,51.88
2024-03-22 15:55:17,53.07,83.11,52.13
2024-03-22 15:55:48,52.58,83.12,52.25
2024-03-22 15:56:19,52.58,83.07,52.38
2024-03-22 15:56:50,52.09,83.07,51.75
2024-03-22 15:57:21,52.58,83.05,51.39
2024-03-22 15:57:52,52.58,83.06,51.88
2024-03-22 15:58:23,52.58,83.04,51.76
2024-03-22 15:58:54,51.12,83.06,51.5
2024-03-22 15:59:25,50.63,83.05,51.88
2024-03-22 15:59:56,52.09,83.14,53.38
2024-03-22 16:00:27,52.09,83.15,52.0
2024-03-22 16:00:58,51.61,83.13,48.49
2024-03-22 16:01:29,53.07,83.11,51.87
2024-03-22 16:02:00,51.61,83.11,51.63
2024-03-22 16:02:31,53.07,83.09,52.37
